age_certification,disneyplus,full_path,globoplay,hbomax,id,imdbPopularity,imdbScore,imdbVotes,justwatchScore,lower_title,movie_genre,netflix,object_type,original_release_year,original_title,paramountplus,primevideo,production_countrie,runtime,starplus,title,tmdbPopularity,tmdbScore,website_url
12,True,/br/filme/captain-marvel-2,False,False,tm833311,457.39,5.5,125468,0.687288879771,themarvels,scf,False,MOVIE,2023,The Marvels,False,False,US,105,False,As Marvels,457.39,6.157,www.justwatch.com/br/filme/captain-marvel-2
14,True,/br/filme/guardioes-da-galaxia-vol-3,False,False,tm317636,189.465,7.9,381550,0.954399139787,guardiansofthegalaxyvol3,cmy,False,MOVIE,2023,Guardians of the Galaxy Vol. 3,False,False,CA,150,False,Guardiões da Galáxia Vol. 3,189.465,7.97,www.justwatch.com/br/filme/guardioes-da-galaxia-vol-3
16,True,/br/filme/deadpool-2,False,False,tm239698,302.806,7.6,646941,0.959035933296,deadpool2,cmy,False,MOVIE,2018,Deadpool 2,False,False,US,119,True,Deadpool 2,302.806,7.488,www.justwatch.com/br/filme/deadpool-2
12,True,/br/filme/a-saga-crepusculo-crepusculo,True,False,tm57772,110.21,5.3,488015,0.660918759281,twilight,rma,True,MOVIE,2008,Twilight,False,True,US,121,False,Crepúsculo,110.21,6.29,www.justwatch.com/br/filme/a-saga-crepusculo-crepusculo
16,True,/br/filme/a-forma-da-agua,False,False,tm244209,99.549,7.3,448001,0.847815555894,theshapeofwater,drm,False,MOVIE,2017,The Shape of Water,False,False,US,123,True,A Forma da Água,99.549,7.2,www.justwatch.com/br/filme/a-forma-da-agua
12,True,/br/filme/o-planeta-dos-macacos,False,False,tm12233,164.417,8,193980,0.933154957524,planetoftheapes,drm,False,MOVIE,1968,Planet of the Apes,False,False,US,112,True,O Homem Que Veio do Futuro,164.417,7.656,www.justwatch.com/br/filme/o-planeta-dos-macacos
12,True,/br/filme/planeta-dos-macacos,False,False,tm36810,229.497,5.7,227258,0.795060609795,planetoftheapes,act,False,MOVIE,2001,Planet of the Apes,False,False,US,120,True,O Planeta dos Macacos,229.497,5.742,www.justwatch.com/br/filme/planeta-dos-macacos
L,True,/br/filme/divertida-mente,False,False,tm135902,190.949,8.1,786508,0.964978696872,insideout,cmy,False,MOVIE,2015,Inside Out,False,False,US,95,False,Divertida-Mente,190.949,7.9,www.justwatch.com/br/filme/divertida-mente
16,True,/br/filme/logan,False,False,tm12118,402.467,8.1,832613,0.963147130586,logan,act,False,MOVIE,2017,Logan,False,False,US,137,True,Logan,402.467,7.817,www.justwatch.com/br/filme/logan
16,True,/br/filme/deadpool,False,False,tm123777,525.072,8,1127247.0,0.964353527228,deadpool,cmy,False,MOVIE,2016,Deadpool,False,False,US,108,True,Deadpool,525.072,7.612,www.justwatch.com/br/filme/deadpool
L,True,/br/filme/elementos-secretos,False,False,tm236713,79.351,7.8,255614,0.970445907655,hiddenfigures,hst,False,MOVIE,2016,Hidden Figures,False,False,US,127,False,Estrelas Além do Tempo,79.351,8.058,www.justwatch.com/br/filme/elementos-secretos
14,True,/br/filme/war-for-the-planet-of-the-apes,False,False,tm122386,288.999,7.4,284978,0.939583261315,warfortheplanetoftheapes,scf,False,MOVIE,2017,War for the Planet of the Apes,False,False,US,140,True,Planeta dos Macacos: A Guerra,288.999,7.177,www.justwatch.com/br/filme/war-for-the-planet-of-the-apes
12,True,/br/filme/dawn-of-the-planet-of-the-apes,False,False,tm144049,376.496,7.6,470915,0.947558526528,dawnoftheplanetoftheapes,act,False,MOVIE,2014,Dawn of the Planet of the Apes,False,False,US,130,True,Planeta dos Macacos: A Revolta,376.496,7.314,www.justwatch.com/br/filme/dawn-of-the-planet-of-the-apes
L,True,/br/filme/wish,False,False,tm1254240,237.836,5.6,35291,0.627490415474,wish,ani,False,MOVIE,2023,Wish,False,False,US,87,False,Wish: O Poder Dos Desejos,237.836,6.465,www.justwatch.com/br/filme/wish
12,True,/br/filme/planeta-dos-macacos-a-origem,False,False,tm176070,258.868,7.6,561242,0.951503547951,riseoftheplanetoftheapes,trl,False,MOVIE,2011,Rise of the Planet of the Apes,False,False,US,101,True,Planeta dos Macacos: A Origem,258.868,7.306,www.justwatch.com/br/filme/planeta-dos-macacos-a-origem
L,True,/br/filme/ratatui,False,False,tm70557,128.034,8.1,826387,0.974551790513,ratatouille,fnt,False,MOVIE,2007,Ratatouille,False,False,US,111,False,Ratatui,128.034,7.819,www.justwatch.com/br/filme/ratatui
L,True,/br/filme/toy-story-os-rivais,False,False,tm14765,219.719,8.3,1069807.0,0.976848243205,toystory,ani,False,MOVIE,1995,Toy Story,False,False,US,81,False,Toy Story: Os Rivais,219.719,7.972,www.justwatch.com/br/filme/toy-story-os-rivais
12,True,/br/filme/x-men,False,False,tm18191,3.579,7.3,640570,0.969779124683,xmen,scf,False,MOVIE,2000,X-Men,False,False,US,105,False,X-Men 1.5,3.579,7,www.justwatch.com/br/filme/x-men
10,True,/br/filme/alice-no-pais-das-maravilhas,False,False,tm100267,100,6.4,441394,0.859511871178,aliceinwonderland,fml,False,MOVIE,2010,Alice in Wonderland,False,False,US,108,False,Alice no País das Maravilhas,100,6.635,www.justwatch.com/br/filme/alice-no-pais-das-maravilhas
12,True,/br/filme/x-men-dias-de-um-futuro-esquecido,False,False,tm155402,132.55,7.9,745808,0.961559714018,xmendaysoffuturepast,act,False,MOVIE,2014,X-Men: Days of Future Past,False,False,US,132,False,X-Men: Dias de um Futuro Esquecido,132.55,7.526,www.justwatch.com/br/filme/x-men-dias-de-um-futuro-esquecido
14,True,/br/filme/pirates-of-the-caribbean-the-curse-of-the-black-pearl,False,False,tm133512,136.586,8.1,1211819.0,0.972269720026,piratesofthecaribbeanthecurseoftheblackpearl,act,False,MOVIE,2003,Pirates of the Caribbean: The Curse of the Black Pearl,False,False,US,143,False,Piratas das Caraíbas: A Maldição do Pérola Negra,136.586,7.8,www.justwatch.com/br/filme/pirates-of-the-caribbean-the-curse-of-the-black-pearl
12,True,/br/filme/o-grande-showman,False,False,tm120596,108.502,7.5,311951,0.906223891152,thegreatestshowman,drm,False,MOVIE,2017,The Greatest Showman,False,False,US,105,False,O Grande Showman,108.502,7.898,www.justwatch.com/br/filme/o-grande-showman
10,True,/br/filme/avatar-edicao-estendida-de-colecionador,False,False,tm135853,174.47,7.9,1387721.0,0.918715706554,avatar,act,False,MOVIE,2009,Avatar,False,False,US,162,False,Avatar,174.47,7.581,www.justwatch.com/br/filme/avatar-edicao-estendida-de-colecionador
10,True,/br/filme/guerra-nas-estrelas-episodio-iv-uma-nova-esperanca,False,False,tm1,429.523,8.6,1451280.0,0.977533031088,starwars,act,False,MOVIE,1977,Star Wars,False,False,US,121,False,Star Wars: Episódio IV - Uma Nova Esperança,429.523,8.203,www.justwatch.com/br/filme/guerra-nas-estrelas-episodio-iv-uma-nova-esperanca
