audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
85,positive,84,True,positive,abigail,2024,Abigail
83,positive,43,False,negative,ghostbusters:frozenempire,2024,Ghostbusters: Frozen Empire
91,positive,79,True,positive,wickedlittleletters,2024,Wicked Little Letters
97,positive,100,False,positive,kissthefuture,2024,Kiss the Future
12,negative,46,False,negative,foundersday,2024,Founders Day
100,positive,100,False,positive,billy&molly:anotterlovestory,2024,Billy & Molly: An Otter Love Story
,,,False,,forsale,2024,For Sale
,,100,False,positive,mindbodyspirit,2024,Mind Body Spirit
63,positive,93,True,positive,housekeepingforbeginners,2024,Housekeeping for Beginners
,,86,False,positive,uncropped,2024,Uncropped
,,,False,,ruby'schoice,2024,Ruby's Choice
50,negative,85,False,positive,sheisconann,2024,She Is Conann
94,positive,92,False,positive,indigogirls:it'sonlylifeafterall,2024,Indigo Girls: It's Only Life After All
,,,False,,camptonmanor,2024,Campton Manor
,,,False,,kittythekiller,2024,Kitty the Killer
,,,False,,lionspy:thehuntforjustice,2024,Lion Spy: The Hunt for Justice
,,,False,,thelastmovieevermade,2024,The Last Movie Ever Made
,,,False,,onehanddon'tclap,2024,One Hand Don't Clap
,,,False,,skelly,2024,Skelly
,,,False,,sira,2024,Sira
,,,False,,rootsoffire,2024,Roots of Fire
,,,False,,thefinal:attackonwembley,2024,The Final: Attack on Wembley
88,positive,78,False,positive,letitbe,2024,Let It Be
,,22,False,negative,motherofthebride,2024,Mother of the Bride
,,,False,,theguardianofthemonarchs,2024,The Guardian of the Monarchs
,,97,False,positive,thelaststopinyumacounty,2024,The Last Stop in Yuma County
,,100,False,positive,aisha,2024,Aisha
,,,False,,theimageofyou,2024,The Image of You
,,40,False,negative,lazareth,2024,Lazareth
,,,False,,foil,2024,Foil
,,87,False,positive,robeofgems,2024,Robe of Gems
,,,False,,livingwithleopards,2024,Living With Leopards 
,,,False,,h2:theoccupationlab,2024,H2: The Occupation Lab
,,,False,,lovesolutions,2024,Love Solutions
,,,False,,mommymeanest,2024,Mommy Meanest
,,,False,,nikkiglaser:somedayyou'lldie,2024,Nikki Glaser: Someday You'll Die
,,,False,,kevinhart:thekennedycentermarktwainprizeforamericanhumor,2024,Kevin Hart: The Kennedy Center Mark Twain Prize for American Humor
83,positive,60,False,positive,pureo,2024,Pure O
56,negative,39,False,negative,unfrosted,2024,Unfrosted
68,positive,83,True,positive,theideaofyou,2024,The Idea of You
81,positive,97,True,positive,latenightwiththedevil,2024,Late Night with the Devil
94,positive,90,False,positive,turtlesallthewaydown,2024,Turtles All the Way Down
84,positive,89,True,positive,monkeyman,2024,Monkey Man
55,negative,83,True,positive,arcadian,2024,Arcadian
82,positive,94,True,positive,loveliesbleeding,2024,Love Lies Bleeding
60,positive,100,True,positive,"laroy,texas",2024,"LaRoy, Texas"
81,positive,92,False,positive,newlife,2024,New Life
87,positive,54,False,negative,anyonebutyou,2024,Anyone But You
72,positive,49,False,negative,thejudge,2015,The Judge
42,negative,29,False,negative,miller'sgirl,2024,Miller's Girl
95,positive,92,True,positive,dune:parttwo,2024,Dune: Part Two
84,positive,94,True,positive,warfortheplanetoftheapes,2019,War for the Planet of the Apes
92,positive,70,False,positive,thebeekeeper,2024,The Beekeeper
72,positive,96,True,positive,infested,2024,Infested
75,positive,83,False,positive,inthelandofsaintsandsinners,2024,In the Land of Saints and Sinners
95,positive,89,True,positive,darkwaters,2019,Dark Waters
97,positive,69,False,positive,arthurtheking,2024,Arthur the King
60,positive,73,False,positive,immaculate,2024,Immaculate
72,positive,33,False,negative,argylle,2024,Argylle
97,positive,80,False,positive,thelonggame,2024,The Long Game
87,positive,72,False,positive,kungfupanda4,2024,Kung Fu Panda 4
59,negative,52,False,negative,starwars:episodei-thephantommenace,2015,Star Wars: Episode I - The Phantom Menace
92,positive,97,True,positive,theholdovers,2023,The Holdovers
28,negative,,False,,kattwilliams:wokefoke,2024,Katt Williams: Woke Foke
94,positive,99,True,positive,l.a.confidential,2015,L.A. Confidential
77,positive,82,True,positive,riseoftheplanetoftheapes,2013,Rise of the Planet of the Apes
88,positive,91,True,positive,dawnoftheplanetoftheapes,2015,Dawn of the Planet of the Apes
42,negative,35,False,negative,thegreatwall,2017,The Great Wall
79,positive,92,True,positive,poorthings,2024,Poor Things
78,positive,93,True,positive,thezoneofinterest,2024,The Zone of Interest
76,positive,54,False,negative,bullettrain,2022,Bullet Train
49,negative,16,False,negative,rebelmoon:parttwo-thescargiver,2024,Rebel Moon: Part Two - The Scargiver
61,positive,86,True,positive,rustcreek,2019,Rust Creek
57,negative,11,False,negative,madameweb,2024,Madame Web
95,positive,90,True,positive,onelife,2024,One Life
84,positive,75,True,positive,thegentlemen,2020,The Gentlemen
91,positive,96,True,positive,allofusstrangers,2024,All of Us Strangers
57,negative,21,False,negative,rebelmoon:partone-achildoffire,2023,Rebel Moon: Part One - A Child of Fire
70,positive,,False,,theroastoftombrady,2024,The Roast of Tom Brady
88,positive,,False,,chiefofstation,2024,Chief of Station
,,,False,,honeymoonish,2024,Honeymoonish
83,positive,91,False,positive,thecontestant,2024,The Contestant
90,positive,96,True,positive,anatomyofafall,2023,Anatomy of a Fall
94,positive,64,False,positive,landofbad,2024,Land of Bad
82,positive,93,True,positive,femme,2024,Femme
96,positive,95,True,positive,thepeanutbutterfalcon,2019,The Peanut Butter Falcon
82,positive,95,True,positive,talktome,2023,Talk to Me
96,positive,35,False,negative,wherethecrawdadssing,2022,Where the Crawdads Sing
68,positive,91,True,positive,dreamscenario,2023,Dream Scenario
53,negative,59,False,negative,roadhouse,2024,Road House
35,negative,73,True,positive,leavetheworldbehind,2023,Leave the World Behind
71,positive,93,True,positive,barbarian,2022,Barbarian
81,positive,48,False,negative,wish,2024,Wish
94,positive,89,True,positive,theironclaw,2024,The Iron Claw
